HA_USAGE,topicDistribution_0,topicDistribution_1,topicDistribution_2,topicDistribution_3,topicDistribution_4
814,0.2000311873207963,0.2000264263252595,0.20001563102986245,0.19997529799337813,0.2000422821352818
675,0.19999126342286755,0.19999451355583986,0.2000053443173464,0.20000940270240833,0.20000921442291048
1333,0.20001976703594085,0.19998542024875451,0.20002240213017036,0.20001446712058843,0.19996547556864677
252,0.19998907950548483,0.20001088634254036,0.20000697387178254,0.20000204321507517,0.20000342014191055
12,0.1999992008607078,0.2000007607303542,0.19999986723178326,0.20000073873920865,0.19999883505702132
19,0.19999711504360107,0.19999946704351385,0.20000236657262432,0.1999980324652208,0.20000335899141045
806,0.19996866119571902,0.19997390757755754,0.20001676617888692,0.19998743437494826,0.20003504384546972
214,0.19999360876822989,0.20002174849610688,0.20001599771982476,0.1999854224442764,0.19999677759728826
364,0.19998188106324072,0.20001625928416975,0.20001284110241518,0.20003502042512505,0.19997148309197452
164,0.20000717911570218,0.19999297822544707,0.20002144769299995,0.20000787309692145,0.20001546522910457
1620,0.19997354520274438,0.19997807212525495,0.20001746586252672,0.1999545944076331,0.2000162155973947
122,0.20001533096429536,0.19999970898573308,0.1999892303009305,0.20001735341245197,0.20001143265641164
1149,0.20000161115179244,0.20002854646950122,0.20003057756956796,0.1999688737418241,0.20002045861953652
273,0.20000017215371665,0.20000381365863956,0.20001220906607864,0.20000925514903148,0.20002437331696932
1266,0.1999880103765507,0.2000181654011201,0.20000504753193823,0.20000195921899844,0.2000099583060881
839,0.20001214241884452,0.2000411398422952,0.19999261903857968,0.19999654547596085,0.20001711252873927
1758,0.2000034822970409,0.20000269879230387,0.19997582345000547,0.19998112584186273,0.2000204648665455
94,0.1999810118348397,0.20000525193606966,0.1999961536341095,0.1999887120060075,0.2000061816558617
129,0.19999284239719767,0.19998833853756198,0.20001293492268948,0.19997912498904213,0.20000225922558434
1506,0.19997676461320574,0.20002587197917424,0.20000594109070713,0.19998359816474592,0.1999841942992643
1504,0.19999257663703737,0.20001028170242602,0.19999160072734085,0.1999785460119527,0.20004458913144682
354,0.19998239876013876,0.19997963712405697,0.19999348926141544,0.19997580851198318,0.2000249575518737
1715,0.19999971988447915,0.20001951696076628,0.2000190545718682,0.20003860313352612,0.20000787252742508
1743,0.19998052603038052,0.1999871368109003,0.20003942331758354,0.20002369298197564,0.1999797111232065
617,0.20000014315669684,0.19999013742530314,0.19998950924908124,0.19996537577707313,0.19997867118847193
