HA_USAGE,topicDistribution_0,topicDistribution_1,topicDistribution_2,topicDistribution_3,topicDistribution_4
814,1.8012412310698653E-4,1.8983932891495682E-4,1.8818751514382474E-4,1.83270794648144E-4,1.8147656186698018E-4
675,2.171754311824649E-4,0.999116119343997,2.268806446488192E-4,2.2099736055537024E-4,0.9991061856908918
1333,1.1003246672812898E-4,1.1591003458806915E-4,1.1494958575907467E-4,0.9995482162427677,1.1087535537688768E-4
252,5.806448155198509E-4,6.116623968564655E-4,6.066325671131632E-4,5.907887486928548E-4,5.85004663655686E-4
12,0.011514994381442123,0.9531376147693021,0.012029742116529771,0.0117222772655373,0.9526052880753796
19,0.007432430196973039,0.007829744613110904,0.00776588559304267,0.007563320693235739,0.007488266846787731
806,1.8191030440956263E-4,1.916274176726301E-4,1.900395461902267E-4,1.8512728415724983E-4,0.9992513174634524
214,6.835798623263614E-4,7.198987913763737E-4,7.139331785326187E-4,6.953312012128224E-4,6.885235745025325E-4
364,4.0260257613049374E-4,4.2397462440512903E-4,4.2033062690624443E-4,4.096658115759221E-4,0.9983439816261146
164,8.908008378692503E-4,0.9963746080743884,9.306116089703546E-4,9.067748207794508E-4,0.996333605058922
1620,9.05480237242695E-5,9.538479001012254E-5,9.459441948077054E-5,9.212984143814664E-5,9.12278890699843E-5
122,0.0011956075671346158,0.9951342026054993,0.9951236595668375,0.001216496418649467,0.0012045859568102836
1149,1.2764156276711113E-4,0.9994804564755637,1.3334559893236385E-4,1.2987138325715425E-4,1.2859993341375904E-4
273,5.361014406624139E-4,5.648201463626261E-4,5.600597516744014E-4,5.455007318806372E-4,5.401268096789843E-4
1266,1.1585224171874199E-4,1.2204069013597425E-4,1.2102943975057886E-4,1.1787611137106102E-4,1.167583677791712E-4
839,1.7476165763873189E-4,0.999288708030261,1.8257142878587293E-4,1.7781465210080154E-4,1.7615491316607317E-4
1758,8.344646054196608E-5,8.79004186709509E-5,0.9996596698145207,8.490087037799512E-5,8.406978278445314E-5
94,0.0015489447857878391,0.001631695886417925,0.0016194264222404496,0.0015760074210460454,0.0015605757387288537
129,0.0011311025915304001,0.0011915284956041353,0.0011816540768076927,0.0011508637954512136,0.9953447956723805
1506,9.739886639344167E-5,1.0260158572506806E-4,1.0175593376870349E-4,9.910457013961178E-5,9.813017033077064E-5
1504,9.752832142474583E-5,1.0280463734028645E-4,0.999602210290509,9.926862467324152E-5,9.826059614119142E-5
354,4.13691920297475E-4,4.3584946948161134E-4,4.32179454953801E-4,4.211462936031463E-4,0.9982973978303987
1715,8.557778460089814E-5,0.9996518475531965,8.93600753989489E-5,8.704126568540817E-5,8.617664415868863E-5
1743,0.9996529948017344,8.866471980087859E-5,8.792193249981397E-5,8.563120474861355E-5,8.481973486276801E-5
617,0.9990204819784972,0.9990331592668161,2.481824312545925E-4,2.4171616869978318E-4,0.9990222157054607
1612,9.099718580102777E-5,0.9996296654124834,9.506365296393972E-5,9.258685005859656E-5,9.168042344165743E-5
