HA_USAGE,HA_USAGE_SCALED,prediction
187,0.09560327198364,1
952,0.486707566462168,3
190,0.097137014314929,1
875,0.447341513292434,3
1172,0.59918200408998,3
1270,0.649284253578732,4
1371,0.700920245398773,4
115,0.05879345603272,0
1739,0.889059304703476,4
80,0.040899795501023,0
706,0.360940695296523,2
1369,0.699897750511247,4
88,0.044989775051125,0
4,0.002044989775051,0
423,0.216257668711656,2
783,0.400306748466258,3
1265,0.646728016359918,4
953,0.487218813905931,3
168,0.085889570552147,1
511,0.261247443762781,2
70,0.035787321063395,0
712,0.3640081799591,2
1672,0.85480572597137,4
670,0.342535787321063,2
125,0.063905930470348,0
431,0.220347648261759,2
1664,0.850715746421268,4
25,0.01278118609407,0
190,0.097137014314929,1
1121,0.573108384458078,3
8,0.004089979550102,0
326,0.166666666666667,1
447,0.228527607361963,2
1071,0.547546012269939,3
272,0.139059304703477,1
1144,0.584867075664622,3
243,0.124233128834356,1
1278,0.653374233128834,4
444,0.226993865030675,2
317,0.162065439672802,1
462,0.236196319018405,2
440,0.224948875255624,2
17,0.008691206543967,0
19,0.009713701431493,0
76,0.038854805725971,0
648,0.331288343558282,2
671,0.343047034764826,2
1770,0.904907975460123,4
1085,0.554703476482618,3
179,0.091513292433538,1
887,0.453476482617587,3
1026,0.524539877300613,3
1374,0.702453987730061,4
800,0.408997955010225,3
1482,0.757668711656442,4
21,0.010736196319018,0
1498,0.765848670756646,4
573,0.292944785276074,2
1703,0.870654396728016,4
262,0.133946830265849,1
21,0.010736196319018,0
342,0.174846625766871,2
270,0.138036809815951,1
281,0.143660531697342,1
598,0.305725971370143,2
481,0.245910020449898,2
243,0.124233128834356,1
967,0.494376278118609,3
1606,0.821063394683027,4
534,0.273006134969325,2
8,0.004089979550102,0
1495,0.764314928425358,4
38,0.019427402862986,0
1772,0.905930470347648,4
316,0.161554192229039,1
788,0.402862985685072,3
13,0.006646216768916,0
68,0.034764826175869,0
869,0.444274028629857,3
89,0.045501022494888,0
355,0.181492842535787,2
2,0.001022494887526,0
1048,0.535787321063395,3
365,0.186605316973415,2
670,0.342535787321063,2
240,0.122699386503067,1
1131,0.578220858895705,3
