HA_USAGE,HA_USAGE_SCALED,prediction
1,5.11247443763E-4,0.9999999999977366
2,0.001022494887526,1.9999999999981675
2,0.001022494887526,1.9999999999981675
2,0.001022494887526,1.9999999999981675
2,0.001022494887526,1.9999999999981675
4,0.002044989775051,3.9999999999970735
4,0.002044989775051,3.9999999999970735
4,0.002044989775051,3.9999999999970735
5,0.002556237218814,4.999999999997504
8,0.004089979550102,7.999999999996841
8,0.004089979550102,7.999999999996841
12,0.006134969325153,11.999999999996607
13,0.006646216768916,12.999999999997039
13,0.006646216768916,12.999999999997039
13,0.006646216768916,12.999999999997039
14,0.007157464212679,13.99999999999747
15,0.007668711656442,14.9999999999979
15,0.007668711656442,14.9999999999979
17,0.008691206543967,16.99999999999681
19,0.009713701431493,18.99999999999767
19,0.009713701431493,18.99999999999767
21,0.010736196319018,20.999999999996575
21,0.010736196319018,20.999999999996575
25,0.01278118609407,24.9999999999983
28,0.014314928425358,27.999999999997637
38,0.019427402862986,37.99999999999803
44,0.022494887525562,43.9999999999967
50,0.025562372188139,49.999999999997335
57,0.029141104294479,56.9999999999984
63,0.032208588957055,62.99999999999707
67,0.034253578732106,66.99999999999683
68,0.034764826175869,67.99999999999726
70,0.035787321063395,69.99999999999812
72,0.03680981595092,71.99999999999703
76,0.038854805725971,75.99999999999679
80,0.040899795501023,79.99999999999851
80,0.040899795501023,79.99999999999851
80,0.040899795501023,79.99999999999851
88,0.044989775051125,87.99999999999807
88,0.044989775051125,87.99999999999807
89,0.045501022494888,88.9999999999985
94,0.048057259713702,93.99999999999868
97,0.04959100204499,96.99999999999802
98,0.050102249488753,97.99999999999845
99,0.050613496932515,98.99999999999692
105,0.053680981595092,104.99999999999756
114,0.058282208588957,113.99999999999753
115,0.05879345603272,114.99999999999795
118,0.060327198364008,117.9999999999973
119,0.060838445807771,118.99999999999773
119,0.060838445807771,118.99999999999773
122,0.062372188139059,121.99999999999706
122,0.062372188139059,121.99999999999706
125,0.063905930470348,124.99999999999834
125,0.063905930470348,124.99999999999834
128,0.065439672801636,127.9999999999977
129,0.065950920245399,128.99999999999812
132,0.067484662576687,131.99999999999747
136,0.069529652351738,135.99999999999721
137,0.070040899795501,136.99999999999767
150,0.076687116564417,149.99999999999739
151,0.07719836400818,150.99999999999784
155,0.079243353783231,154.99999999999758
158,0.08077709611452,157.99999999999886
164,0.083844580777096,163.99999999999756
164,0.083844580777096,163.99999999999756
168,0.085889570552147,167.9999999999973
170,0.086912065439673,169.99999999999818
171,0.087423312883436,170.9999999999986
175,0.089468302658487,174.99999999999838
179,0.091513292433538,178.99999999999812
179,0.091513292433538,178.99999999999812
182,0.093047034764826,181.99999999999747
183,0.093558282208589,182.99999999999793
186,0.095092024539877,185.99999999999724
187,0.09560327198364,186.9999999999977
187,0.09560327198364,186.9999999999977
190,0.097137014314929,189.99999999999898
190,0.097137014314929,189.99999999999898
207,0.105828220858896,206.99999999999847
208,0.106339468302658,207.99999999999696
214,0.109406952965235,213.99999999999758
232,0.118609406952965,231.9999999999975
239,0.122188139059305,238.99999999999858
240,0.122699386503067,239.99999999999704
242,0.123721881390593,241.9999999999979
243,0.124233128834356,242.99999999999835
243,0.124233128834356,242.99999999999835
248,0.12678936605317,247.99999999999855
250,0.127811860940695,249.99999999999744
252,0.128834355828221,251.99999999999832
252,0.128834355828221,251.99999999999832
261,0.133435582822086,260.9999999999983
261,0.133435582822086,260.9999999999983
262,0.133946830265849,261.99999999999875
270,0.138036809815951,269.9999999999983
271,0.138548057259714,270.9999999999987
272,0.139059304703477,271.9999999999991
273,0.139570552147239,272.9999999999976
276,0.141104294478528,275.99999999999886
278,0.142126789366053,277.9999999999978
281,0.143660531697342,280.9999999999991
292,0.149284253578732,291.999999999998
295,0.15081799591002,294.99999999999727
313,0.160020449897751,312.9999999999992
316,0.161554192229039,315.9999999999985
317,0.162065439672802,316.9999999999989
326,0.166666666666667,325.9999999999989
331,0.169222903885481,330.99999999999915
342,0.174846625766871,341.99999999999795
354,0.180981595092025,353.99999999999926
355,0.181492842535787,354.9999999999978
355,0.181492842535787,354.9999999999978
355,0.181492842535787,354.9999999999978
364,0.186094069529652,363.99999999999767
365,0.186605316973415,364.9999999999981
368,0.188139059304703,367.9999999999975
383,0.195807770961145,382.99999999999807
385,0.196830265848671,384.9999999999989
394,0.201431492842536,393.9999999999989
411,0.210122699386503,410.99999999999835
419,0.214212678936605,418.99999999999795
423,0.216257668711656,422.99999999999767
427,0.218302658486708,426.9999999999994
431,0.220347648261759,430.9999999999992
431,0.220347648261759,430.9999999999992
438,0.223926380368098,437.9999999999983
440,0.224948875255624,439.99999999999915
444,0.226993865030675,443.9999999999989
444,0.226993865030675,443.9999999999989
447,0.228527607361963,446.9999999999983
451,0.230572597137014,450.999999999998
462,0.236196319018405,461.9999999999988
464,0.23721881390593,463.9999999999977
471,0.24079754601227,470.9999999999988
481,0.245910020449898,480.9999999999992
487,0.248977505112474,486.9999999999979
511,0.261247443762781,510.9999999999984
511,0.261247443762781,510.9999999999984
512,0.261758691206544,511.9999999999989
519,0.265337423312883,518.999999999998
527,0.269427402862986,526.9999999999994
528,0.269938650306748,527.999999999998
533,0.272494887525562,532.9999999999981
534,0.273006134969325,533.9999999999985
534,0.273006134969325,533.9999999999985
535,0.273517382413088,534.999999999999
537,0.274539877300613,536.999999999998
550,0.28118609406953,549.9999999999995
556,0.284253578732106,555.9999999999982
560,0.286298568507157,559.9999999999981
561,0.28680981595092,560.9999999999984
561,0.28680981595092,560.9999999999984
563,0.287832310838446,562.9999999999993
566,0.289366053169734,565.9999999999986
573,0.292944785276074,572.9999999999997
581,0.297034764826176,580.9999999999993
585,0.299079754601227,584.999999999999
